Token Address,Uniswap Price (USDT),Sushiswap Price (USDT)
0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,667.89792812577832030869,665.53525057003497086851
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,299758353.6823858456032623592,299031287.30819391216134201982
0xfa68FB4628DFF1028CFEc22b4162FCcd0d45efb6,999614468486.27812355955632706248,1247860339734.6599250936329588015
0xc2132D05D31c914a87C6611C10748AEb04B58e8F,1.00005024736119857929,1.00169198275703660198
0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0.99992517404940229511,0
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,5.1803519e-13,5.1960624e-13
0x03b54A6e9a984069379fae1a4fC4dBAE93B3bCCD,3.84840409585e-9,0
0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4,1176546558843.95331827480726859665,715055413584.58119658119658119658
0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,73432903472.72031812637317663353,73136706276.53354271509323609419
0xE111178A87A3BFf0c8d18DECBa5798827539Ae99,0.00009262954198698648,0
